,userid,version,sum_gamerounds,retention_1,retention_7,number
2,377,gate_40,165.0,True,False,2
3,483,gate_40,1.0,False,False,3
4,488,gate_40,179.0,True,True,4
5,540,gate_40,187.0,True,True,5
7,1444,gate_40,2.0,False,False,7
8,1574,gate_40,108.0,True,True,8
9,1587,gate_40,153.0,True,False,9
10,1842,gate_40,3.0,False,True,10
12,2132,gate_40,30.0,True,False,12
19,2502,gate_40,1.0,False,False,19
20,2530,gate_40,9.0,True,False,20
22,2695,gate_40,45.0,True,False,22
27,3132,gate_40,80.0,True,True,27
28,3186,gate_40,4.0,False,False,28
30,3204,gate_40,53.0,True,True,30
34,3993,gate_40,202.0,True,True,34
35,4076,gate_40,0.0,False,False,35
40,4653,gate_40,15.0,False,False,40
42,4902,gate_40,1.0,False,False,42
43,4916,gate_40,49.0,True,False,43
46,4945,gate_40,25.0,True,False,46
50,5345,gate_40,6.0,False,False,50
55,5920,gate_40,10.0,True,False,55
56,5943,gate_40,76.0,False,False,56
57,6099,gate_40,138.0,False,False,57
60,6156,gate_40,1.0,False,False,60
62,6664,gate_40,26.0,True,False,62
63,6695,gate_40,127.0,True,False,63
64,6833,gate_40,6.0,False,False,64
65,6842,gate_40,4.0,False,False,65
67,6930,gate_40,297.0,True,True,67
68,7124,gate_40,108.0,True,True,68
70,7321,gate_40,33.0,False,False,70
71,7509,gate_40,0.0,False,False,71
74,7582,gate_40,3.0,False,False,74
78,8254,gate_40,14.0,False,False,78
79,8256,gate_40,14.0,False,False,79
81,8317,gate_40,3.0,False,False,81
84,8465,gate_40,4.0,False,False,84
89,8753,gate_40,10.0,True,False,89
91,8801,gate_40,0.0,False,False,91
92,8885,gate_40,5.0,False,False,92
93,9001,gate_40,16.0,True,False,93
94,9308,gate_40,95.0,True,False,94
95,9443,gate_40,3.0,False,False,95
97,9699,gate_40,8.0,False,False,97
98,9828,gate_40,1.0,False,False,98
99,9831,gate_40,3.0,False,False,99
100,9849,gate_40,1.0,False,False,100
102,10200,gate_40,106.0,False,True,102
104,10276,gate_40,1.0,False,False,104
106,10476,gate_40,4.0,False,False,106
107,10533,gate_40,21.0,False,False,107
108,10598,gate_40,8.0,False,False,108
110,10637,gate_40,0.0,False,False,110
111,10676,gate_40,6.0,False,False,111
113,10884,gate_40,49.0,True,False,113
114,11093,gate_40,54.0,True,True,114
120,11675,gate_40,17.0,False,False,120
125,12067,gate_40,7.0,False,False,125
127,12393,gate_40,1.0,False,False,127
128,12461,gate_40,4.0,False,False,128
133,12905,gate_40,1.0,False,False,133
134,12951,gate_40,2.0,False,False,134
137,13133,gate_40,6.0,False,False,137
139,13228,gate_40,9.0,False,False,139
140,13320,gate_40,34.0,False,False,140
141,13321,gate_40,56.0,False,False,141
142,13376,gate_40,12.0,True,False,142
144,13494,gate_40,10.0,True,False,144
147,13721,gate_40,65.0,True,False,147
152,13893,gate_40,14.0,False,False,152
153,13969,gate_40,42.0,False,False,153
156,14290,gate_40,6.0,True,False,156
158,14381,gate_40,9.0,False,False,158
160,14644,gate_40,2.0,False,False,160
162,15157,gate_40,38.0,False,False,162
166,15597,gate_40,2.0,False,False,166
168,15970,gate_40,16.0,True,False,168
169,16096,gate_40,0.0,False,False,169
170,16145,gate_40,7.0,False,False,170
172,16224,gate_40,0.0,False,False,172
173,16454,gate_40,11.0,False,False,173
174,16504,gate_40,0.0,False,False,174
176,16638,gate_40,51.0,True,False,176
177,16696,gate_40,5.0,False,False,177
178,17085,gate_40,33.0,False,False,178
181,17422,gate_40,2.0,False,False,181
184,17506,gate_40,127.0,True,True,184
187,17903,gate_40,17.0,False,False,187
190,18013,gate_40,21.0,True,False,190
191,18213,gate_40,36.0,True,False,191
193,18374,gate_40,53.0,True,False,193
198,18849,gate_40,74.0,True,True,198
199,18993,gate_40,25.0,True,False,199
201,19091,gate_40,1.0,False,False,201
202,19474,gate_40,2.0,False,False,202
204,19529,gate_40,22.0,False,False,204
205,19537,gate_40,2.0,False,False,205
206,19593,gate_40,18.0,False,False,206
207,19673,gate_40,4.0,False,False,207
208,19721,gate_40,18.0,False,False,208
209,19728,gate_40,79.0,True,True,209
211,19896,gate_40,13.0,True,False,211
216,20358,gate_40,19.0,False,True,216
217,20365,gate_40,6.0,False,False,217
219,20489,gate_40,2.0,False,False,219
220,20587,gate_40,26.0,False,False,220
221,20591,gate_40,2.0,True,False,221
222,20721,gate_40,99.0,False,True,222
224,20790,gate_40,5.0,True,False,224
226,20940,gate_40,1.0,False,False,226
227,21072,gate_40,16.0,False,False,227
228,21130,gate_40,1.0,False,False,228
229,21137,gate_40,91.0,True,False,229
230,21228,gate_40,149.0,True,True,230
232,21442,gate_40,68.0,True,False,232
233,21755,gate_40,12.0,False,True,233
234,22069,gate_40,7.0,False,False,234
235,22082,gate_40,3.0,False,False,235
236,22167,gate_40,277.0,True,True,236
237,22299,gate_40,493.0,True,True,237
239,22486,gate_40,3.0,False,False,239
240,22676,gate_40,8.0,False,False,240
241,22919,gate_40,1.0,False,False,241
244,23023,gate_40,32.0,False,True,244
245,23026,gate_40,1.0,False,False,245
246,23084,gate_40,85.0,True,True,246
247,23094,gate_40,12.0,False,False,247
248,23126,gate_40,1.0,False,False,248
252,23525,gate_40,191.0,True,True,252
253,23702,gate_40,115.0,True,False,253
254,23748,gate_40,45.0,True,False,254
255,24036,gate_40,15.0,False,False,255
257,24302,gate_40,19.0,True,False,257
261,24981,gate_40,18.0,False,False,261
264,25293,gate_40,12.0,False,False,264
266,25466,gate_40,2.0,False,False,266
268,25941,gate_40,73.0,True,False,268
271,26243,gate_40,250.0,True,True,271
273,26466,gate_40,13.0,True,False,273
277,27163,gate_40,23.0,False,False,277
282,27849,gate_40,61.0,True,False,282
283,27851,gate_40,75.0,True,False,283
291,28497,gate_40,77.0,True,True,291
292,29185,gate_40,3.0,False,False,292
293,29311,gate_40,7.0,False,False,293
294,29317,gate_40,6.0,False,False,294
296,29522,gate_40,197.0,False,True,296
298,29677,gate_40,22.0,False,False,298
299,29753,gate_40,69.0,True,False,299
300,29861,gate_40,4.0,False,False,300
302,30039,gate_40,20.0,False,False,302
308,30594,gate_40,15.0,True,False,308
316,31222,gate_40,20.0,False,False,316
317,31638,gate_40,16.0,False,False,317
321,32292,gate_40,25.0,False,False,321
322,32403,gate_40,2.0,True,False,322
323,32569,gate_40,4.0,False,False,323
324,32595,gate_40,11.0,True,False,324
327,32942,gate_40,11.0,True,True,327
330,33189,gate_40,9.0,True,False,330
331,33274,gate_40,4.0,False,False,331
332,33316,gate_40,18.0,True,False,332
335,33639,gate_40,45.0,True,False,335
336,33703,gate_40,43.0,True,False,336
338,33954,gate_40,30.0,True,False,338
340,34016,gate_40,47.0,True,False,340
341,34022,gate_40,72.0,False,True,341
342,34027,gate_40,16.0,False,False,342
343,34076,gate_40,2.0,False,False,343
344,34447,gate_40,93.0,True,True,344
346,34597,gate_40,334.0,True,True,346
347,34647,gate_40,8.0,False,False,347
349,34842,gate_40,27.0,True,False,349
352,34942,gate_40,8.0,False,False,352
353,35027,gate_40,58.0,True,False,353
356,35458,gate_40,56.0,False,False,356
363,36047,gate_40,85.0,True,True,363
367,36298,gate_40,1.0,False,False,367
